Yr/Seas ,Host ,Nationalities ,Leader (s) ,Route(s) ,Result ,Smtrs ,Dead ,Exped ID 
2019 Spr,Nepal,"Spain, Brazil, Chile, India",Sergi Mingote,S Col-SE Ridge,Success,3,,EVER-191-23
2019 Spr,Nepal,"China, Nepal",Zhang Bao-Long,S Col-SE Ridge,Success,22,,EVER-191-24
2019 Spr,Nepal,China,Ru Zhi-Gang,S Col-SE Ridge,Success,6,,EVER-191-25
2019 Spr,Nepal,"China, India, Nepal",Ma Li-Yamu,S Col-SE Ridge,Success,14,1,EVER-191-26
2019 Spr,Nepal,"China, Taiwan, USA",Li Yuan,S Col-SE Ridge,Success,7,,EVER-191-27
2019 Spr,Nepal,"Pakistan, India, Poland, Singapore, USA",Mirza Ali Baig,S Col-SE Ridge,Success,15,1,EVER-191-28
2019 Spr,Nepal,Romania,Adrian Laza,S Col-SE Ridge,Success,3,,EVER-191-29
2019 Spr,Nepal,China,Wang Zhi-Rong,S Col-SE Ridge,Success,6,,EVER-191-30
2019 Spr,Nepal,Germany,Matthias Janssen,S Col-SE Ridge,Bad Weather,,,EVER-191-31
2019 Spr,Nepal,"Nepal, Canada, China, Greece, India",Mingma Gyalje Sherpa,S Col-SE Ridge,Success,16,,EVER-191-32
2019 Spr,Nepal,India,Kishor Dhankude,S Col-SE Ridge,Success,9,1,EVER-191-33
2019 Spr,Nepal,USA,Thomas Becker,S Col-SE Ridge,Success,3,,EVER-191-34
2019 Spr,Nepal,"Nepal, India",Chatur Tamang,S Col-SE Ridge,Success,5,,EVER-191-35
2019 Spr,Nepal,Canada,Gabriel Filippi,S Col-SE Ridge,Success,2,,EVER-191-36
2019 Spr,Nepal,"Belgium, Nepal, Singapore, UK",Damien Francois,S Col-SE Ridge,Success,7,,EVER-191-37
2019 Spr,Nepal,"India, Denmark, USA",Rahul Inamdar,S Col-SE Ridge,Success,9,1,EVER-191-38
2019 Spr,Nepal,USA,John All,S Col-SE Ridge,"Illness, AMS",,1,EVER-191-39
2019 Spr,Nepal,"Ireland, China, Norway",Miko Keane,S Col-SE Ridge,Success,10,,EVER-191-40
2019 Spr,Nepal,"Canada, Georgia, India, S Korea, UK, USA",Clayton Matthews,S Col-SE Ridge,Success,11,,EVER-191-41
2019 Spr,Nepal,Switzerland,Roxane Lamon,S Col-SE Ridge,Success,3,,EVER-191-42
2019 Spr,Nepal,"UK, USA",Richard Morgan,S Col-SE Ridge,Success,11,,EVER-191-43
2019 Spr,Nepal,"USA, Canada",Todd Passey,S Col-SE Ridge,Success,9,,EVER-191-44
2019 Spr,Nepal,India,Sheetal Raj,S Col-SE Ridge,Success,3,,EVER-191-45
2019 Spr,Nepal,"USA, India, UK",Christopher Pollak,S Col-SE Ridge,Success,9,,EVER-191-46
2019 Spr,Nepal,India,Jay Prakash Kumar,S Col-SE Ridge,Success,21,,EVER-191-47
2019 Spr,Nepal,"Argentina, India",Ricardo Birn,S Col-SE Ridge,Success,2,,EVER-191-48
2019 Spr,Nepal,India,Vikas Rana,S Col-SE Ridge,"Illness, AMS",,,EVER-191-49
2019 Spr,Nepal,"India, Lebanon, USA",Gurinder Singh,S Col-SE Ridge,Success,8,,EVER-191-50
2019 Spr,Nepal,India,Vimal Kumar,S Col-SE Ridge,Lack of Supplies,,,EVER-191-51
2019 Spr,Nepal,Romania,Teofil Vlad,S Col-SE Ridge,Success,2,,EVER-191-52
2019 Spr,Nepal,"Nepal, Australia",Sumit Joshi,S Col-SE Ridge,"Illness, AMS",,,EVER-191-53
2019 Spr,Nepal,Nepal,Khim Lal Gautam,S Col-SE Ridge,Success,4,,EVER-191-54
2019 Spr,Nepal,Nepal,Ang Tshering Lama,S Col-SE Ridge,Success,14,,EVER-191-55
2019 Spr,Nepal,Nepal,Ang Dawa Sherpa,S Col-SE Ridge,Success,5,,EVER-191-56
2019 Spr,Nepal,Nepal,Nirmal Purja,S Col-SE Ridge,Success,2,,EVER-191-57
2019 Spr,Nepal,France,Elisabeth Revol,S Col-SE Ridge,Success,3,,EVER-191-58
2019 Spr,Nepal,"China, Japan",John Tsang,S Col-SE Ridge,Success,12,,EVER-191-59
2019 Spr,China,"Switzerland, Austria, Chile, Germany","Kari Kobler, Andreas Neuschmid",N Col-NE Ridge,Success,15,1,EVER-191-60
2019 Spr,China,"UK, USA",Adrian Ballinger,N Col-NE Ridge,Other,,,EVER-191-61
2019 Spr,China,"USA, Ecuador","Chad Peele, Carla Perez",N Col-NE Ridge,Success,17,,EVER-191-62
2019 Spr,China,"New Zealand, USA",Lydia Bradey,N Col-NE Ridge,Success,4,,EVER-191-63
2019 Spr,China,"USA, Ecuador","Cory Richards, Topo Mena",NE Ridge,Bad Weather,,,EVER-191-64
2019 Spr,China,Japan,Hiroyuki Kuraoka,N Col-NE Ridge,Bad Weather,,,EVER-191-65
2019 Spr,China,"UK, Australia, Canada, Denmark, France, Italy",David O'Brien,N Col-NE Ridge,Success,8,,EVER-191-66
2019 Spr,China,"Germany, Austria, Norway, USA",Luis Stitzinger,N Col-NE Ridge,Success,17,,EVER-191-67
2019 Spr,China,"Austria, France, Norway, Switzerland","Lukas Furtenbach, Rupert Hauer",N Col-NE Ridge,Success,20,,EVER-191-68
2019 Spr,China,"India, Australia, UK",Shekhar Babu Bachinepally,N Col-NE Ridge,Success,22,,EVER-191-69
2019 Spr,China,"Netherlands, Australia, Nepal, Romania, Russia, Serbia, USA",Arnold Coster,N Col-NE Ridge,Success,16,,EVER-191-70
2019 Spr,China,Italy,Edmond Joyeusaz,N Col-NE Ridge,Success,2,,EVER-191-71
2019 Spr,China,"UK, Finland, Greece",Diahanne Gilbert,N Col-NE Ridge,Success,8,,EVER-191-72
2019 Spr,China,"Australia, Ireland, UK",Rolfe Oostra,N Col-NE Ridge,Success,6,1,EVER-191-73
2019 Spr,China,"UK, Russia",Sean James,N Col-NE Ridge,Success,5,,EVER-191-74
2019 Spr,China,"Russia, Azerbaijan, Cyprus, Latvia, Moldova, Poland",Alex Abramov,N Col-NE Ridge,Success,27,,EVER-191-75
2019 Spr,China,India,Kuntal Joisher,N Col-NE Ridge,Success,4,,EVER-191-76
2019 Spr,China,"Ukraine, Russia",Valentyn Sypavin,N Col-NE Ridge,Success,8,,EVER-191-77
2019 Spr,China,Russia,Olga Koroleva,N Col-NE Ridge,Success,3,,EVER-191-78
2019 Spr,China,"New Zealand, USA",Jamie McGuinness,N Col-NE Ridge,Success,13,,EVER-191-79
2019 Spr,China,USA,Scott Woolums,N Col-NE Ridge,Bad Weather,,,EVER-191-80
2019 Spr,China,Japan,Ryuseki Hiraoka,N Col-NE Ridge,Success,3,,EVER-191-81
2019 Spr,China,France,Catherine Vulliez,N Col-NE Ridge,Success,2,,EVER-191-82
2019 Spr,China,Argentina,Horacio Galanti,N Col-NE Ridge,Success,2,,EVER-191-83
2019 Spr,China,Canada,Christopher Dare,N Col-NE Ridge,Success,2,,EVER-191-84
2019 Spr,China,China,Tibetan Rope-fixing,N Col-NE Ridge,Success,6,,EVER-191-85
2019 Spr,China,China,Tsering Samdrup,N Col-NE Ridge,Success,33,,EVER-191-86
2019 Spr,Nepal,Nepal,Gopal Shrestha,S Col-SE Ridge,Success,2,,EVER-191-87
2019 Spr,Nepal,Nepal,Lila Bahadur Basnet,S Col-SE Ridge,Success,1,,EVER-191-88
2019 Spr,Nepal,Saudi Arabia,Saud Al-Eidi,S Col-SE Ridge,Success,4,,EVER-191-89
2019 Spr,Nepal,China,Cong Wang,S Col-SE Ridge,Success,7,,EVER-191-90
2019 Spr,Nepal,Brazil,Rodrigo Raineri,S Col-SE Ridge,"Illness, AMS",,,EVER-191-91
2019 Spr,Nepal,Nepal,Laxman Sapkota,S Col-SE Ridge,"Illness, AMS",,,EVER-191-92
2019 Aut,Nepal,"USA, UK",Garrett Madison,S Col-SE Ridge,Bad Conditions,,,EVER-193-01
2019 Aut,Nepal,Poland,Andrzej Bargiel,S Col-SE Ridge,Bad Conditions,,,EVER-193-02
2019 Aut,Nepal,Spain,Kilian Jornet,Geneva Spur-SE Ridge,Bad Conditions,,,EVER-193-03
2019 Aut,Nepal,Poland,Rafal Fronia,S Col-SE Ridge,Bad Conditions,,,EVER-193-04
2019 Win,Nepal,Germany,Jost Kobusch,Lho La-W Ridge,Route Difficulty,,,EVER-194-01
2019 Win,Nepal,Spain,Alex Chicon (Alex Txikon),S Col-SE Ridge,Bad Conditions,,,EVER-194-02
2019 Win,Nepal,Nepal,Tashi Lakpa Sherpa,S Col-SE Ridge,Bad Conditions,,,EVER-194-03
2020 Spr,China,China,Tibetan Rope-Fixing,N Col-NE Ridge,Success,6,,EVER-201-01
2020 Spr,China,China,Ci Luo (Tselo),N Col-NE Ridge,Success,8,,EVER-201-02
2020 Spr,China,China,Tsering Samdrup,N Col-NE Ridge,Success,35,,EVER-201-03
2021 Spr,Nepal,Nepal,Sherpa Rope-Fixing,S Col-SE Ridge,Success,12,,EVER-211-01
2021 Spr,Nepal,"Nepal, China, Colombia, Greece, India, Poland",Dawa Steven Sherpa,S Col-SE Ridge,Success,4,,EVER-211-02
2021 Spr,Nepal,India,Ishwar Singh Thapa,S Col-SE Ridge,Success,12,,EVER-211-03
2021 Spr,Nepal,"USA, Canada, Estonia, Iceland, Ireland, Norway",Garrett Madison,S Col-SE Ridge,Success,34,,EVER-211-04
2021 Spr,Nepal,UK,Kenton Cool,S Col-SE Ridge,Success,2,,EVER-211-05
2021 Spr,Nepal,UK,Jon Gupta,S Col-SE Ridge,Success,6,,EVER-211-06
2021 Spr,Nepal,"Netherlands, Finland",Roeland Van Oss,S Col-SE Ridge,"Illness, AMS",,,EVER-211-07
2021 Spr,Nepal,"USA, Canada, Finland, Japan, Nepal, S Africa, Sweden, Tanzania, UAE",Jonathan Schrock,S Col-SE Ridge,Success,23,,EVER-211-08
2021 Spr,Nepal,"USA, Argentina, Australia, Canada, Croatia, Ecuador, India, Ireland, Italy, Mexico, Qatar, S Africa, Thailand, UK, Uruguay",Mike Hamill,S Col-SE Ridge,Success,25,1,EVER-211-09
2021 Spr,Nepal,USA,Ben Jones,S Col-SE Ridge,Success,,,EVER-211-10
2021 Spr,Nepal,USA,Richard Sweitzer,S Col-SE Ridge,Success,5,,EVER-211-11
2021 Spr,Nepal,"Russia, Israel, Kyrgyz Republic, Uzbekistan",Alex Abramov,S Col-SE Ridge,Success,18,1,EVER-211-12
2021 Spr,Nepal,"USA, Norway",Ryan Waters,S Col-SE Ridge,Success,8,,EVER-211-13
2021 Spr,Nepal,"Romania, Nepal, USA",Marius-Sebastian Purice,S Col-SE Ridge,Success,6,,EVER-211-14
2021 Spr,Nepal,"Austria, Luxembourg",Andreas Neuschmid,S Col-SE Ridge,Success,3,,EVER-211-15
2021 Spr,Nepal,S Africa,Seva Gorlach,S Col-SE Ridge,Bad Weather,,,EVER-211-16
2021 Spr,Nepal,"Austria, Germany, Italy, Luxembourg, Romania",Rupert Hauer,S Col-SE Ridge,Other,,,EVER-211-17
2021 Spr,Nepal,"Austria, Germany, Israel, Norway, USA",Lukas Furtenbach,S Col-SE Ridge,Other,,,EVER-211-18
2021 Spr,Nepal,"USA, Austria, Germany, India, Italy, Kuwait, Lithuania, Morocco, Nepal, Poland, Romania, UK",Khai Van Nguyen,S Col-SE Ridge,Success,20,,EVER-211-19
2021 Spr,Nepal,"Ukraine, Belarus, Moldova",Valentyn Sypavin,S Col-SE Ridge,Success,10,,EVER-211-20
2021 Spr,Nepal,"Canada, Argentina, France, Norway, USA",Elia Saikaly,S Col-SE Ridge,Success,17,,EVER-211-21
2021 Spr,Nepal,"USA, UK",Dan Mazur,S Col-SE Ridge,Success,7,,EVER-211-22
2021 Spr,Nepal,"Bahrain, UK","Richard McConnell, Christopher Burrows",S Col-SE Ridge,Success,43,,EVER-211-23
2021 Spr,Nepal,"Netherlands, China, Mexico, USA",Arnold Coster,S Col-SE Ridge,Success,17,,EVER-211-24
2021 Spr,Nepal,"India, Argentina,Austria,Germany,Hungary,Iran,Ireland,Israel,Japan,Latvia,Pakistan, Poland,Russia,S Africa,Spain,Switzerland,Tajikistan,UK,Ukraine,USA, Uzbekistan",Umesh Zirpe,S Col-SE Ridge,Success,46,2,EVER-211-25
2021 Spr,Nepal,Nepal,Pasang Phurba Sherpa,S Col-SE Ridge,Success,5,,EVER-211-26
2021 Spr,Nepal,India,"Rhagubir Lal, Loveraj Singh Dharmshaktu",S Col-SE Ridge,Unknown,,,EVER-211-27
2021 Spr,Nepal,China,Zhang Wei,S Col-SE Ridge,Success,19,1,EVER-211-28
2021 Spr,Nepal,China,Song Yu-Jiang,S Col-SE Ridge,Success,15,,EVER-211-29
2021 Spr,Nepal,"USA, Denmark, Iceland",Craig Van Hoy,S Col-SE Ridge,Success,7,,EVER-211-30
2021 Spr,Nepal,"India, France, Italy, Japan, S Korea",Harshvardhan Joshi,S Col-SE Ridge,Success,8,,EVER-211-31
2021 Spr,Nepal,"Nepal, China, Pakistan",Mingma Gyalje Sherpa,S Col-SE Ridge,Success,15,,EVER-211-32
2021 Spr,Nepal,India,Manish Kashniyal,S Col-SE Ridge,Success,7,,EVER-211-33
2021 Spr,Nepal,India,Dinesh Kotkar,S Col-SE Ridge,Success,5,,EVER-211-34
2021 Spr,Nepal,Nepal,Binod Mani Rai,S Col-SE Ridge,Success,2,,EVER-211-35
2021 Spr,Nepal,"France, Cuba, Japan",Jonathan Lamy,S Col-SE Ridge,Success,7,,EVER-211-36
2021 Spr,Nepal,"Romania, El Salvador, Estonia, India, Japan, Montenegro, UK, USA",Maria Danila,S Col-SE Ridge,Success,2,,EVER-211-37
2021 Spr,Nepal,"Taiwan, China, Nepal",Tseng K-Erh (Grace),S Col-SE Ridge,Success,7,,EVER-211-38
2021 Spr,Nepal,"Nepal, Canada, UK, USA",Nirmal Purja,S Col-SE Ridge,Success,15,,EVER-211-39
2021 Spr,Nepal,"Brazil, Poland",Carlos Santalena,S Col-SE Ridge,Success,13,,EVER-211-40
2021 Spr,Nepal,"USA, Canada, Ireland, Poland, S Africa",Jacob Schmitz,S Col-SE Ridge,Bad Weather,,,EVER-211-41
2021 Spr,Nepal,"UK, Finland, Switzerland, USA",Phil Crampton,S Col-SE Ridge,Success,5,,EVER-211-42
2021 Spr,Nepal,"France, Hungary, Nepal, Switzerland, USA",Bernard Muller,S Col-SE Ridge,Bad Weather,,,EVER-211-43
2021 Spr,Nepal,Belarus,Sviatlana Kuzkova,S Col-SE Ridge,Success,2,,EVER-211-44
2021 Spr,Nepal,Nepal,Ram Sharan Upreti,S Col-SE Ridge,Success,2,,EVER-211-45
2021 Spr,Nepal,Nepal,Purna Kumar Sherpa,S Col-SE Ridge,Success,3,,EVER-211-46
2021 Spr,Nepal,"Nepal, USA",Namgya Sherpa,S Col-SE Ridge,"Illness, AMS",,,EVER-211-47
2021 Spr,Nepal,"UK, Italy, Palestine, UAE",Mustafa Salameh,S Col-SE Ridge,Unknown,,,EVER-211-48
2021 Spr,Nepal,"Russia, Canada",Oxana Morneva,S Col-SE Ridge,Success,1,,EVER-211-49
2021 Spr,Nepal,"Nepal, China, India",Chatur Tamang,S Col-SE Ridge,Success,4,,EVER-211-50
2021 Spr,China,China,Tsering Samdrup,N Col-NE Ridge,Other,,,EVER-211-51
2021 Win,Nepal,Germany,Jost Kobusch,Lho La-W Ridge-N Face (Hornbein Couloir),Bad Weather,,,EVER-214-01
2022 Spr,Nepal,Nepal,Sherpa Rope-Fixing,S Col-SE Ridge,Success,11,,EVER-221-01
2022 Spr,Nepal,"USA, Australia, Canada, Germany",Justin Merle,S Col-SE Ridge,Success,22,1,EVER-221-02
2022 Spr,Nepal,"USA, Argentina, Australia, Canada, Egypt, France, UK",Mike Hamill,S Col-SE Ridge,Success,34,,EVER-221-03
2022 Spr,Nepal,"USA, Canada, Germany, Ireland, Japan, UK",Dan Mazur,S Col-SE Ridge,Success,19,,EVER-221-04
2022 Spr,Nepal,"Nepal, China, Croatia, Czech Republic, India, Japan, S Africa, UK, USA",Dawa Steven Sherpa,S Col-SE Ridge,Success,23,,EVER-221-05
2022 Spr,Nepal,"USA, Argentina, Canada, Ireland, Israel, UK",Garrett Madison,S Col-SE Ridge,Success,30,,EVER-221-06
2022 Spr,Nepal,"UK, Canada",Kenton Cool,S Col-SE Ridge,Success,9,,EVER-221-07
2022 Spr,Nepal,"UK, Australia, Russia",Philip De-Beger,S Col-SE Ridge,Success,11,,EVER-221-08
2022 Spr,Nepal,"Austria, Australia, Canada, Germany, Ireland, Israel, New Zealand, UK, USA",Lukas Furtenbach,S Col-SE Ridge,Success,44,,EVER-221-09
2022 Spr,Nepal,"UK, Sweden",Stuart Peacock,S Col-SE Ridge,Success,11,,EVER-221-10
2022 Spr,Nepal,"UK, Iran",Sean James,S Col-SE Ridge,Success,10,,EVER-221-11
2022 Spr,Nepal,USA,Ben Jones,S Col-SE Ridge,Success,6,,EVER-221-12
2022 Spr,Nepal,"USA, Nepal, UK","Baker Perry, Peter Athans",S Col-SE Ridge,Success,15,,EVER-221-13
2022 Spr,Nepal,"USA, Canada, Kenya",Frederick Campbell,S Col-SE Ridge,Success,20,,EVER-221-14
2022 Spr,Nepal,"Russia, Israel, Nepal, USA",Alex Abramov,S Col-SE Ridge,Success,35,1,EVER-221-15
2022 Spr,Nepal,"USA, Ecuador, Finland, India, Ireland, Japan, Mexico, Mongolia, Nepal, Oman, Switzerland, UAE, UK",Hedayet Ali,S Col-SE Ridge,Success,40,,EVER-221-16
2022 Spr,Nepal,"Netherlands, Ireland, Nepal, S Korea, UK, Vietnam",Arnold Coster,S Col-SE Ridge,Success,10,,EVER-221-17
2022 Spr,Nepal,Spain,Luis Carcavilla,S Col-SE Ridge,Success,2,,EVER-221-18
2022 Spr,Nepal,"Uruguay, Canada, China, El Salvador, Germany, India, Iran, Lithuania, Malaysia, Mexico, Russia, UK, Ukraine, USA, Venezuela",Vanessa Estol Garay,S Col-SE Ridge,Success,35,,EVER-221-19
2022 Spr,Nepal,"Nepal, Australia, Austria, Brazil, Bulgaria, Ecuador, France, Mexico, Poland, Qatar, S Africa, Saudi Arabia, Sweden, UK",Nirmal Purja,S Col-SE Ridge,Success,43,,EVER-221-20
2022 Spr,Nepal,"India, Belarus, Canada, China, France, Iran, Malaysia, Mexico, Mongolia, Nepal, Norway, Russia, USA",Sunil Nataraj,S Col-SE Ridge,Success,43,,EVER-221-21
2022 Spr,Nepal,"Nepal, Canada, India, USA",Nga Tenji Sherpa,S Col-SE Ridge,Success,21,,EVER-221-22
2022 Spr,Nepal,"Nepal, India",Narbin Magar,S Col-SE Ridge,Success,9,1,EVER-221-23
2022 Spr,Nepal,"Nepal, Australia, China, Pakistan, Portugal, Russia, Thailand",Mingma Gyalje Sherpa,S Col-SE Ridge,Success,25,,EVER-221-24
2022 Spr,Nepal,"France, Japan, Nepal, Portugal, Romania, Singapore",Jonatham Lamy,S Col-SE Ridge,Success,21,,EVER-221-25
2022 Spr,Nepal,"India, China, Italy, USA",Hemant Leuva,S Col-SE Ridge,Success,22,,EVER-221-26
2022 Spr,Nepal,"Vietnam, Belgium, Canada, Iran, Iraq, UK",Phan Thanh-Nhien,S Col-SE Ridge,Success,16,,EVER-221-27
2022 Spr,Nepal,"India, USA",Jay Kohlatkar,S Col-SE Ridge,Success,6,,EVER-221-28
2022 Spr,Nepal,Nepal,Kishor Adhikari,S Col-SE Ridge,Success,5,,EVER-221-29
2022 Spr,Nepal,"Australia, Denmark, France, India, USA",Kevin Farebrother,S Col-SE Ridge,Success,8,,EVER-221-30
2022 Spr,Nepal,"Hungary, Austria, Japan, Nepal, Sweden",Emil Neszmelyi,S Col-SE Ridge,Success,9,,EVER-221-31
2022 Spr,Nepal,"Nepal, Australia, Brazil, Honduras, Ireland, Norway, USA",Sumit Joshi,S Col-SE Ridge,Success,14,,EVER-221-32
2022 Spr,Nepal,"UK, Finland, USA",Phil Crampton,S Col-SE Ridge,Success,8,,EVER-221-33
2022 Spr,Nepal,"Canada, Finland, France, Nepal",Nicolas Boily,S Col-SE Ridge,Success,9,,EVER-221-34
2022 Spr,Nepal,Nepal,"Bishnu Bhusal, Priti Bhusal",S Col-SE Ridge,Success,8,,EVER-221-35
2022 Spr,Nepal,USA,Tenzing Jangbu Sherpa,S Col-SE Ridge,Success,2,,EVER-221-36
2022 Spr,Nepal,Russia,Oxana Morneva,S Col-SE Ridge,Success,4,,EVER-221-37
2022 Spr,Nepal,Nepal,Sagar Sunar,S Col-SE Ridge,Bad Weather,,,EVER-221-38
2022 Spr,Nepal,Nepal,Amit KC,S Col-SE Ridge,Not to Reach BC,,,EVER-221-39
2022 Spr,Nepal,Malaysia,Muhammad Hawari Hashim,S Col-SE Ridge,Bad Weather,,,EVER-221-40
2022 Spr,China,China,Tsering Samdrup,N Col-NE Ridge,Success,31,,EVER-221-41
2022 Spr,China,China,Deqing Ouzhu,N Col-NE Ridge,Success,13,,EVER-221-42
2022 Aut,Nepal,"Poland, Czech Republic, Spain",Andrzej Bargiel,S Sol-SE Ridge,Bad Weather,,,EVER-223-01
2023 Spr,Nepal,Nepal,Sherpa Rope-Fixing,S Col-SE Ridge,Success,9,,EVER-231-01
2023 Spr,Nepal,"Nepal, Australia, China, Germany, Hungary, Pakistan, S Africa, Singapore, Thailand, UK, USA",Mingma Gyalje Sherpa,S Col-SE Ridge,Success,24,3,EVER-231-02
2023 Spr,Nepal,"Nepal, China",Mingma Gyalje Sherpa,S Col-SE Ridge,Success,23,,EVER-231-03
2023 Spr,Nepal,"USA, Australia",Maxwell Bond,S Col-SE Ridge,Success,9,1,EVER-231-04
2023 Spr,Nepal,"New Zealand, Australia, Germany, Nepal, UK, USA",Guy Cotter,S Col-SE Ridge,Success,12,,EVER-231-05
2023 Spr,Nepal,"USA, Argentina, Canada, Czech Republic, Germany, Mexico, Netherlands, Switzerland, UAE, UK",Garrett Madison,S Col-SE Ridge,Success,28,1,EVER-231-06
2023 Spr,Nepal,UK,Kenton Cool,S Col-SE Ridge,Success,4,,EVER-231-07
2023 Spr,Nepal,"USA, Argentina, Australia, Brazil, Canada, Estonia, France, India, Ireland, Kuwait, Nepal, Norway, UK, Uruguay",Mike Hamill,S Col-SE Ridge,Success,48,,EVER-231-08
2023 Spr,Nepal,"Austria, Afghanistan, Canada, Germany, Ireland, Pakistan, UK, USA",Lukas Furtenbach,S Col-SE Ridge,Success,31,,EVER-231-09
2023 Spr,Nepal,"Nepal, Australia, Greece, India, Israel, Macedonia",Dawa Steven Sherpa,S Col SE Ridge,Success,23,2,EVER-231-10
2023 Spr,Nepal,China,Tao Chen,S Col-SE Ridge,Success,18,,EVER-231-11
2023 Spr,Nepal,"UK, Canada, Estonia, India, Ireland, Nepal, USA",David O'Brien,S Col-SE Ridge,Success,13,,EVER-231-12
2023 Spr,Nepal,"USA, Canada",Ben Jones,S Col-SE Ridge,Success,7,,EVER-231-13
2023 Spr,Nepal,"USA, Nepal",Baker Perry,S Col-SE Ridge,Success,4,,EVER-231-14
2023 Spr,Nepal,"Romania, China, France, India, Malaysia, S Korea, Singapore, Thailand, UK, USA",Anca Racatean,S Col-SE Ridge,Success,19,,EVER-231-15
2023 Spr,Nepal,China,Song Yu-Jiang,S Col-SE Ridge,Success,11,1,EVER-231-16
2023 Spr,Nepal,"Ukraine, Moldova",Valentyn Sypavin,S Col-SE Ridge,Success,8,,EVER-231-17
2023 Spr,Nepal,Mongolia,Zolbookhuu Ombo,S Col-SE Ridge,Success,8,,EVER-231-18
2023 Spr,Nepal,Russia,Victor Volodine,S Col-SE Ridge,Success,10,,EVER-231-19
2023 Spr,Nepal,"Russia, Israel, Latvia",Alex Abramov,S Col-SE Ridge,Success,23,,EVER-231-20
2023 Spr,Nepal,"Denmark, Canada, China, Costa Rica, Czech Republic, Estonia, Hungary, Iran, Kuwait, Mexico, Singapore, UK, USA",Marco Evaristi Sarovic,S Col-SE Ridge,Success,32,2,EVER-231-21
2023 Spr,Nepal,"Iran, Australia, Canada, Cyprus, Denmark, India, Iran, Israel, Kazakhstan, Kenya, Pakistan, Russia, Slovenia, Ukraine, UK, USA",Samad Babazadeh Anari,S Col-SE Ridge,Success,35,,EVER-231-22
2023 Spr,Nepal,"Netherlands, Belgium, Brazil, USA",Arnold Coster,S Col-SE Ridge,Success,6,,EVER-231-23
2023 Spr,Nepal,Norway,Kristin Harila,S Col-SE Ridge,Success,2,,EVER-231-24
2023 Spr,Nepal,"Spain, France",Kilian Jornet,W Ridge-Hornbein Couloir,Accident,,,EVER-231-25
2023 Spr,Nepal,"Kyrgyz Republic, China, Costa Rica, Germany, Italy, Malaysia, Mexico, Nepal, Russia, Ukraine, USA",Kadyrakun Nurmamatov,S Col-SE Ridge,Success,52,,EVER-231-26
2023 Spr,Nepal,"UK, Andorra, Australia, Brazil, Canada, France, India, Iran, Lithuania, Poland, Qatar, Romania, S Africa, Taiwan, USA",Nirmal Purja,S Col-SE Ridge,Success,46,,EVER-231-27
2023 Spr,Nepal,"China, Canada",Luo Biao,S Col-SE Ridge,Success,18,,EVER-231-28
2023 Spr,Nepal,China,"Shi Lei, Zhang Bao-Long",S Col-SE Ridge,Success,20,,EVER-231-29
2023 Spr,Nepal,"India, Argentina, China, Japan, Malaysia, S Africa, USA",Narender Kumar,S Col-SE Ridge,Success,14,2,EVER-231-30
2023 Spr,Nepal,Nepal,Sangita Kumari Rokaya,S Col-SE Ridge,Success,2,,EVER-231-31
2023 Spr,Nepal,"USA, Australia, Brazil, Cuba, Ireland, S Africa",Michael King,S Col-SE Ridge,Success,9,,EVER-231-32
2023 Spr,Nepal,"Bosnia-Herzegovina, France, Germany, India, Mexico",Tomislav Cvitanusic,S Col-SE Ridge,Success,12,,EVER-231-33
2023 Spr,Nepal,"Poland, India, USA",Tomasz Kobielski,S Col-SE Ridge,Success,13,,EVER-231-34
2023 Spr,Nepal,"Nepal, Russia",Chatur Tamang,S Col-SE Ridge,Success,6,,EVER-231-35
2023 Spr,Nepal,"USA, Canada",Ryan Waters,S Col-SE Ridge,Success,10,,EVER-231-36
2023 Spr,Nepal,"Vietnam, Canada, Colombia, Japan, Kuwait, Latvia, Moldova, Switzerland, USA",Phan Thanh-Nhien,S Col-SE Ridge,Success,9,1,EVER-231-37
2023 Spr,Nepal,"UK, France, USA",Phil Crampton,S Col-SE Ridge,Success,11,,EVER-231-38
2023 Spr,Nepal,"UK, Azerbaijan, Canada, Chile, India, S Africa, USA",Samiur Rashid,S Col-SE Ridge,Success,4,,EVER-231-39
2023 Spr,Nepal,Nepal,Susan Thapa Magar,S Col-SE Ridge,Success,4,,EVER-231-40
2023 Spr,Nepal,"Canada, Finland, France",Nicolas Boily,S Col-SE Ridge,Success,3,,EVER-231-41
2023 Spr,Nepal,Nepal,Lhakpa Sonam Sherpa,S Col-SE Ridge,Success,2,,EVER-231-42
2023 Spr,Nepal,Japan,Hiroyuki Kuraoka,S Col-SE Ridge,Success,9,,EVER-231-43
2023 Spr,Nepal,"France, China, Germany, India, UK",Michel Viso,S Col-SE Ridge,Success,2,1,EVER-231-44
2023 Spr,Nepal,"Austria, France, Switzerland",Andreas Neuschmid,S Col-SE Ridge,Bad Weather,,,EVER-231-45
2023 Spr,Nepal,Nepal,Ranjit Kumar Shah,S Col-SE Ridge,Accident,,2,EVER-231-46
2023 Spr,Nepal,Nepal,Kishor Adhikari,S Col-SE Ridge,Success,9,2,EVER-231-47
2023 Spr,Nepal,Nepal,Purushottam Sundas,S Col-SE Ridge,Success,2,,EVER-231-48
2023 Spr,China,China,Tsering Samdrup,N Col-NE Ridge,Success,21,,EVER-231-49
2023 Spr,China,China,Scientific Staff,N Col-NE Ridge,Other,,,EVER-231-50
2023 Aut,China,USA,Conrad Anker,N Face (Hornbein Couloir),Other,,,EVER-233-01
