date,time,hour_of_the_day_,part_of_body,side,number_of_times,type,location,datetime
Feb 18,12:05,12,Hand,Right,1,Scracth,Home,2026-02-18 12:05:00
Feb 18,13:25,13,Hand,Right,1,Scracth,Commute,2026-02-18 13:25:00
Feb 18,13:31,13,Hand,Left,1,Scracth,Commute,2026-02-18 13:31:00
Feb 18,13:37,13,Sleeve,Left,1,Pinch,Commute,2026-02-18 13:37:00
Feb 18,13:51,13,Hand,Right,1,Brush,Meal,2026-02-18 13:51:00
Feb 18,15:06,15,Hand,Right,1,Brush,Commute,2026-02-18 15:06:00
Feb 18,15:13,15,Hand,Left,1,Scracth,Commute,2026-02-18 15:13:00
Feb 18,15:36,15,Hand,Right,1,Scracth,School,2026-02-18 15:36:00
Feb 18,15:39,15,Hand,Right,1,Pinch,School,2026-02-18 15:39:00
Feb 18,15:40,15,Hand,Right,1,Scracth,School,2026-02-18 15:40:00
Feb 18,15:45,15,Hand,Right,1,Brush,School,2026-02-18 15:45:00
Feb 18,17:07,17,Hand,Right,2,Brush,School,2026-02-18 17:07:00
Feb 18,17:08,17,Hand,Left,2,Pinch,School,2026-02-18 17:08:00
Feb 18,17:13,17,Hand,Left,1,Pinch,School,2026-02-18 17:13:00
Feb 18,17:46,17,Hand,Left,1,Brush,School,2026-02-18 17:46:00
Feb 18,17:47,17,Hand,Right,1,Pinch,School,2026-02-18 17:47:00
Feb 18,17:53,17,Hand,Right,1,Pinch,School,2026-02-18 17:53:00
Feb 18,18:08,18,Hand,Right,1,Pinch,School,2026-02-18 18:08:00
Feb 18,18:16,18,Hand,Right,1,Brush,School,2026-02-18 18:16:00
Feb 18,18:28,18,Hand,Right,1,Scracth,School,2026-02-18 18:28:00
Feb 18,18:59,18,Hand,Right,2,Scracth,School,2026-02-18 18:59:00
Feb 18,18:59,18,Hand,Right,1,Pinch,School,2026-02-18 18:59:00
Feb 18,19:02,19,Hand,Right,1,Brush,School,2026-02-18 19:02:00
Feb 18,19:04,19,Hand,Right,1,Brush,School,2026-02-18 19:04:00
Feb 18,19:04,19,Hand,Left,1,Pinch,School,2026-02-18 19:04:00
Feb 18,19:08,19,Hand,Left,1,Pinch,School,2026-02-18 19:08:00
Feb 18,19:21,19,Hand,Right,2,Pinch,School,2026-02-18 19:21:00
Feb 18,20:31,20,Sleeve,Right,1,Brush,Meal,2026-02-18 20:31:00
Feb 18,20:47,20,Hand,Right,2,Pinch,Meal,2026-02-18 20:47:00
